"","funds_optimal","comp"
"373",1.17965429280906,"T=5"
"374",1,"T=5"
"375",1.08243265366588,"T=5"
"376",1.53153941582626,"T=5"
"377",1,"T=5"
"378",1,"T=5"
"379",1,"T=5"
"380",1.07528623614002,"T=5"
"381",1.49080224889869,"T=5"
"382",1.20528365093738,"T=5"
"383",1.53081639164904,"T=5"
"384",1,"T=5"
"385",1.25925693554616,"T=5"
"386",1,"T=5"
"387",1,"T=5"
"388",1.44142789320812,"T=5"
"389",1,"T=5"
"390",1.02388204688967,"T=5"
"391",1,"T=5"
"392",1,"T=5"
"393",1.66430974878604,"T=5"
"394",1,"T=5"
"395",1,"T=5"
"396",1.81609906872987,"T=5"
"397",1,"T=5"
"398",1,"T=5"
"399",1.16450946131118,"T=5"
"400",1,"T=5"
"401",1.30277209841646,"T=5"
"402",1.08695207155759,"T=5"
"403",1,"T=5"
"404",1.06831886553797,"T=5"
"405",1,"T=5"
"406",1.47376819900589,"T=5"
"407",1.40503717932763,"T=5"
"408",1.5568775393544,"T=5"
"409",1,"T=5"
"410",1,"T=5"
"411",1.62412738880977,"T=5"
"412",1.08738099815602,"T=5"
"413",1,"T=5"
"414",1.70406873716779,"T=5"
"415",1.16571747218051,"T=5"
"416",1,"T=5"
"417",1.30746361615461,"T=5"
"418",1,"T=5"
"419",1.22407018344291,"T=5"
"420",1,"T=5"
"421",1.20091298323397,"T=5"
"422",1,"T=5"
"423",1.64432000814357,"T=5"
"424",1.61719331128009,"T=5"
"425",1,"T=5"
"426",1.02721328265844,"T=5"
"427",1,"T=5"
"428",1.19688621028621,"T=5"
"429",1.4130142538414,"T=5"
"430",1,"T=5"
"431",1.54072995607555,"T=5"
"432",1,"T=5"
"433",1.59877342506713,"T=5"
"434",1.5793645807796,"T=5"
"435",1.61364524151167,"T=5"
"436",1,"T=5"
"437",1.30519503676283,"T=5"
"438",1,"T=5"
"439",1.07727748661405,"T=5"
"440",1,"T=5"
"441",1.06562893655068,"T=5"
"442",1.54484492603812,"T=5"
"443",1.50529375033423,"T=5"
"444",1.08914539990746,"T=5"
"445",1.21733208755919,"T=5"
"446",1,"T=5"
"447",1.56285661264929,"T=5"
"448",1.46814664503262,"T=5"
"449",1,"T=5"
"450",1,"T=5"
"451",1.22769055260952,"T=5"
"452",1.55480304245569,"T=5"
"453",1,"T=5"
"454",1.62634314518486,"T=5"
"455",1,"T=5"
"456",1.57061950375386,"T=5"
"457",1,"T=5"
"458",1,"T=5"
"459",1.34082654294169,"T=5"
"460",1,"T=5"
"461",1,"T=5"
"462",1,"T=5"
"463",1,"T=5"
"464",1.68363463761714,"T=5"
"465",1,"T=5"
"466",1,"T=5"
"467",1.42737651613655,"T=5"
"468",1.31403086692986,"T=5"
"469",1,"T=5"
"470",1,"T=5"
"471",1.47465764947023,"T=5"
"472",1.22428865114035,"T=5"
"473",1.12873278146688,"T=5"
"474",1,"T=5"
"475",1.22402242906695,"T=5"
"476",1,"T=5"
"477",1,"T=5"
"478",1.30033592783124,"T=5"
"479",1,"T=5"
"480",1,"T=5"
"481",1,"T=5"
"482",1,"T=5"
"483",1,"T=5"
"484",1.06776209616989,"T=5"
"485",1,"T=5"
"486",1.58082444201727,"T=5"
"487",1.58250950365324,"T=5"
"488",1,"T=5"
"489",1.59715384024884,"T=5"
"490",1.47200965463327,"T=5"
"491",1,"T=5"
"492",1,"T=5"
"493",1.58651389814854,"T=5"
"494",1.18143534000434,"T=5"
"495",1.64711317307006,"T=5"
"496",1.53076700173534,"T=5"
"497",1.26537803987653,"T=5"
"498",1,"T=5"
"499",1,"T=5"
"500",1.4415086826652,"T=5"
"501",1.43151661192858,"T=5"
"502",1,"T=5"
"503",1,"T=5"
"504",1.43145939995191,"T=5"
"505",1.58469779022601,"T=5"
"506",1.70284707998591,"T=5"
